Observatoire Air Rhone-Alpes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Mesures : Benzène ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Stations : Sud lyonnais / Feyzin ZI A7 Nord-Isere sud lyonnais / Pierre-Bénite Roussillon Vernaison ZI ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Périodes : Du 07 novembre 2012 au 09 novembre 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Données : Horaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Exporté le lundi 01 décembre 2014 12h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    ;08/11/2012;;;;;;;;;;;;;;;;;;;;;;;;09/11/2012;;;;;;;;;;;;;;;;;;;;;;;;10/11/2012
        Date/Heure;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;00:00
        Isère;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A7 Nord-Isere - Trafic - (Benzène,  microgrammes/m3);5,8;4,3;2,7;1,7;2,5;2,9;1,5;1,2;1;0,6;0,2;1,1;0,1;0,3;0;0;0;0;0,1;0,1;0,2;0,5;0;0;0;0;0,4;1,2;0,5;0,1;0,5;0,1;0,7;0,2;0,7;9,3;10,8;0,6;0,5;0;0,3;0;0,3;0,3;0;0;0,2;0;0
Roussillon - Urbain - (Benzène,  microgrammes/m3);1,9;1,6;1,6;2,1;2,5;1,2;2,7;2,4;2,4;1,8;1,4;1;0,8;0,3;0,2;0,3;0,1;0,2;0,1;0;0,2;0,2;0,2;0,3;0,2;0,1;0,2;0,9;1;0,5;1;0,9;1;3,1;2,2;5,7;5,6;0,4;0,3;0,2;0;0,1;0,1;0,1;0,2;0;0,1;0;0,1
Rhône;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sud lyonnais / Feyzin ZI - Industrielle - (Benzène,  microgrammes/m3);9,673366;9,023666;1,781733;1,438455;1,569167;2,657058;2,84124;2,895626;1,934297;2,538662;3,852291;1,393254;3,657452;3,449715;2,061335;1,492924;0,75953;2,009476;3,317715;2,000256;4,105388;2,263652;1,919389;2,864762;4,080264;2,904158;3,00502;3,718345;2,789524;2,074718;1,85425;2,394193;2,76475;8,64804;5,778844;14,37905;18,491028;2,908371;3,68083;1,083307;0,786641;0,347257;0,275671;1,602142;0,459464;0,346851;0,370937;0,384768;0,315326
sud lyonnais / Pierre-Bénite - Industrielle - (Benzène,  microgrammes/m3);2,31692;1,190193;2,154091;1,773359;1,603887;1,551629;1,41757;1,479203;2,004644;2,323268;4,806868;4,677764;4,714336;3,149718;2,26863;0,601475;0,77958;0,82415;1,022884;1,340218;2,136384;2,411433;2,22149;2,806495;2,746892;2,433261;3,026507;2,528411;2,402709;2,526896;2,314499;1,753233;2,430382;2,999489;3,230306;2,553165;2,960751;1,727212;1,53952;2,090184;0,485694;0,113391;0,52246;0,581654;0,570521;0,66092;0,614065;0,557679;0,48931
Vernaison ZI - Industrielle - (Benzène,  microgrammes/m3);2,23676;1,464075;1,829778;1,522465;1,283138;1,163812;1,136191;1,177423;1,890613;2,104758;1,348585;1,026399;0,3384;0,301054;0,06;0,064;0,176818;0,619017;0,485895;0,191204;0,99572;0,62476;0,24493;0,225401;1,6168;1,75756;1,602525;1,662634;1,70393;1,2919;1,286254;1,268398;1,544086;2,844649;1,123261;1,335538;0,878677;0,854958;0,74;1,36;0,06;0,064;0,06;0,06;0,06;0,064;0,06;0,06;0,06
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ces données peuvent faire l'objet d'invalidation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Conditions d'utilisation des informations :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Toute utilisation de ces informations doit faire référence à l organisme agréé pour la surveillance de la qualité de l'air en Rhône-Alpes qui en conserve la propriété intellectuelle. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ainsi, veuillez indiquer la mention © Air Rhône-Alpes à côté de chaque utilisation de graphiques, cartes, tableaux& ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En cas d'insatisfaction sur les informations ou leurs conditions d'utilisation, prenez contact avec les associations agréées surveillance de la qualité de l'air en Rhône-Alpes qui en conservent la propriété intellectuelle.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Informations sur la qualité de l'air: Internet: http://www.air-rhonealpes.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
